lga,ward,schoolname,school code
 Agege Local Government Area,Unknown Ward, Aanu Oluwapo Primary School Oyewole (24010005),24010005
 Agege Local Government Area,Unknown Ward, African Church Central Primary School Oniwaya (24010024),24010024
 Agege Local Government Area,la Sango Ward, Ahmad Memorial Moslem Primary School Oke- Kato (24010027),24010027
 Agege Local Government Area,Unknown Ward, Ajegunle Primary Schoolotubu Agege (24010028),24010028
 Agege Local Government Area,Unknown Ward, Akilo Primary School Ogba (24010029),24010029
 Agege Local Government Area,la Sango Ward, Amosun Nursery &Amp Primary School Amosun (24010042),24010042
 Agege Local Government Area,la Sango Ward, Anwar-Ul-Islam Primary School Agege (24010044),24010044
 Agege Local Government Area,Unknown Ward, Araromi Primary School Agege (24010046),24010046
 Agege Local Government Area,la Sango Ward, Bishop Ajana Primary School Oke-Koto (24010069),24010069
 Agege Local Government Area,Unknown Ward, Communityunity Primary School Idi Mangoro (24010103),24010103
 Agege Local Government Area,la Sango Ward, Dairy Farm Nursery And Primary School Sango Agege (24010110),24010110
 Agege Local Government Area,la Sango Ward, Darocha Primary School Agege (24010111),24010111
 Agege Local Government Area,Unknown Ward, District Primary School Agege (24010132),24010132
 Agege Local Government Area,la Dopemu Ward, Dopemu Primary School Agege (24010142),24010142
 Agege Local Government Area,la Sango Ward, Ibido Primary School Oke-Koto (24010232),24010232
 Agege Local Government Area,la Sango Ward, Ideal Primary School Tabon Tabon (24010235),24010235
 Agege Local Government Area,Unknown Ward, Ifelodun Primary School Agege (24010237),24010237
 Agege Local Government Area,Unknown Ward, Ifeoluwa Primary School Agege (24010238),24010238
 Agege Local Government Area,Unknown Ward, Irepodun Primary School Agege (24010248),24010248
 Agege Local Government Area,la Sango Ward, Issa Williams Primary School Agege (24010249),24010249
 Agege Local Government Area,Unknown Ward, Jibril Martins Primary School Agege (24010253),24010253
 Agege Local Government Area,la Sango Ward, Keke Primary School Obemero Remo Keke (24010268),24010268
 Agege Local Government Area,Unknown Ward, Ladoje Primary Schoo Oko Oba (24010277),24010277
 Agege Local Government Area,la Sango Ward, Local Government Primary School Agege (24010285),24010285
 Agege Local Government Area,la Sango Ward, Methodist Primary School Tabon-Tabon (24010300),24010300
 Agege Local Government Area,Unknown Ward, Moses Orimolade Primary School Oke Koto (24010303),24010303
 Agege Local Government Area,Unknown Ward, Oduduwa Primary School Oduduwa (24010308),24010308
 Agege Local Government Area,la Sango Ward, Oke-Koto United Primary School Oke-Koto (24010309),24010309
 Agege Local Government Area,la Orile Ward (Agege), Oko-Oba Primary School Oko-Oba (24010310),24010310
 Agege Local Government Area,la Sango Ward, Okusanya Primary School Tabon-Tabon (24010311),24010311
 Agege Local Government Area,Unknown Ward, Olusanya Primary School Agege (24010317),24010317
 Agege Local Government Area,Unknown Ward, Oore Ofe Primary School Dopema (24010320),24010320
 Agege Local Government Area,Unknown Ward, Orile Agege Primary School Orile Agege (24010324),24010324
 Agege Local Government Area,Unknown Ward, Progressive Primary School Agege (24010341),24010341
 Agege Local Government Area,la Sango Ward, Sacred Cherubim &Amp Seraphim Shillo Primary School Oke-Kato (24010366),24010366
 Agege Local Government Area,Unknown Ward, Saka Tinubu Primary School Orile Agege (24010369),24010369
 Agege Local Government Area,Unknown Ward, Salvation Primary School Dopemu (24010370),24010370
 Agege Local Government Area,la Sango Ward, Sanngo Primary School Sanngo Agege (24010374),24010374
 Agege Local Government Area,la Sango Ward, St Peters Blessed Primary School Oke-Kato (24010391),24010391
 Agege Local Government Area,Unknown Ward, St Saviours Primary School Oniwaya Agege (24010392),24010392
 Agege Local Government Area,Unknown Ward, State Primary School Dopemu (24010396),24010396
 Agege Local Government Area,Unknown Ward, State Primary School Iloro (24010397),24010397
 Agege Local Government Area,Unknown Ward, State Primary School Oyewole Mulero Agege (24010398),24010398
 Agege Local Government Area,la Sango Ward, State Primary School Sango (24010399),24010399
 Agege Local Government Area,Unknown Ward, Unity Primary School Mulero (24010425),24010425
 Agege Local Government Area,Unknown Ward, Vocational Centre 2 State Primary School Oyewole (24010435),24010435
 Agege Local Government Area,Unknown Ward, Yewa Primary School Orile (24010439),24010439
 Agege Local Government Area,la Sango Ward, Zion A/C Nursery And Primary School Alagba (24010440),24010440
 Agege Local Government Area,Unknown Ward, Home And Economic Act And Craft Centre Ikota (24010834),24010834
 Agege Local Government Area,Unknown Ward, Vocational Centre 3 Jibril Martins Complex (24010845),24010845
 Agege Local Government Area,Unknown Ward, Anwar Ul Islam Primary School Oniwaya Agege (24010846),24010846
 Agege Local Government Area,la Sango Ward, Vocational Centre 1 (24010868),24010868
 Agege Local Government Area,la Sango Ward, Agege Local Government Nursery School (24010869),24010869
 Agege Local Government Area,Unknown Ward, Vocational Centre 4 Ac Central Schools Complex Agege (24010984),24010984
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, African Primary School Ajegunle (24020012),24020012
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Aiyetoro Primary School Ajegunle (24020014),24020014
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ajegunle Nursery/Primary School Ojo (24020015),24020015
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ajegunle Primary School Awodi Ora (24020016),24020016
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ajeromi Central Primary School Ajeromi (24020017),24020017
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ajeromi Ifelodun Computer Centre Ebenenzer Complex Awodi Ora (24020018),24020018
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ajeromi Ifelodun Primary School Ajeromi (24020020),24020020
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ajeromi Public Primary School Ajegunle (24020021),24020021
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ajeronmi Nursery And Primary School (24021587),24021587
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ajif Centre Mosafejo Amukoko (24020022),24020022
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ajif Computer Centre Suru 131 Ojo Rd Ajegunle (24020023),24020023
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ajif Mini Resource Centre Araromi (24020024),24020024
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Alaba Primary School Ii Ajegunle (24020037),24020037
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Alakoto Primary School Alakoto (24020039),24020039
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Anglican Nursery &Amp Primary School Ayobo (24020710),24020710
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Anglican Pimary School Araromi (24020048),24020048
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Anglican Primary School I Ajegunle (24020049),24020049
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Anglican Primary School Ii Aiyetoro (24020050),24020050
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Araromi Primary School Olodi Apapa 2 (24020054),24020054
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Asubiojo Primary School I Orile Iganmu (24020064),24020064
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Asubiojo Primary School Ii Alaba Oro Ajegunle (24020065),24020065
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Awodi Ora Primary School Awodi Ora (24020073),24020073
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ayodele Primary School Ajegunle (24020075),24020075
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Cardoso Primary School Ajegunle (24020102),24020102
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Christ Assembly Primary School Ajegunle (24020111),24020111
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Christ The King Primary School Ajegunle (24020115),24020115
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ebenezer Primary School Awodi Ora (24020181),24020181
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Father Sadiku Memorial Primary School Ajegunle (24020209),24020209
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Goriola Primary School I Ajegunle (24020260),24020260
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Goriola Primary School Ii Ajegunle (24020261),24020261
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Home Economic Centre (24020296),24020296
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Home Economics Centre Alaba Oro (24020297),24020297
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ibafon Nur/ School Olodi Apapa (24021283),24021283
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ifelodun Primary School Owodi Ora (24020305),24020305
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ireti Primary School I Ojo (24020312),24020312
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ireti Primary Schoolii Ojo (24020313),24020313
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Jimoh Ojora Primary School I Amukoko (24020320),24020320
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Jimoh Ojora Primary School Ii Amukoko (24020321),24020321
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Kajola Primary School Araromi (24020335),24020335
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, L A Primary School Araromi (24021266),24021266
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, L A Primary School Osho Drive Ajegunle (24020036),24020036
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Lagos State Model Nursery And Primary School Ajegunle (24020347),24020347
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Local Authority Nursery/Primary School Amukoko Ib (24020356),24020356
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Local Authority Primary School Ajegunle (24020360),24020360
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Local Authority Primary School I Aiyetoro (24020357),24020357
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Local Authority Primary School I Amukoko (24020358),24020358
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Local Authority Primary School Ii Aiyetoro (24020359),24020359
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Local Authority Primary School Layeni Ajegunle (24020361),24020361
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Local Authority Primary Schoolii Amukoko (24020363),24020363
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Muslim Nur/Primary School Araromi (24021279),24021279
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Muslim Nursery And Primary School Awodi Ora (24020389),24020389
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Nawair Ud Deen Primary School I Aiyetoro Ajegunle (24020390),24020390
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Nawair Ud Deen Primary School Ii Aiyetoro Ajegunle (24020391),24020391
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, New Primary School Araromi (24020392),24020392
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Ogunlade Primary School Ii Alaba (24020401),24020401
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Okorogbo Primary School Okorogbo (24020408),24020408
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Oladipo Primary School I Oke Oja (24020409),24020409
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Oladipo Primary School Ii Oke Oja (24020410),24020410
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Olaniyonu Primary School Alaba (24020412),24020412
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Olodi Apapa Primary School Olodi Apapa (24020413),24020413
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Oluwa Primary School Araromi I (24020420),24020420
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Oremeji Primary School I Olodi Apapa (24020425),24020425
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Oremeji Primary School Ii Olodi Apapa (24020426),24020426
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Orodu Primary School Ajegunle Orodu (24020427),24020427
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Reservation Primary School Olodi Apapa (24020461),24020461
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Sari Iganmu Primary School I Oke Oja (24020490),24020490
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Sari Iganmu Primary School Ii Oke Oja (24020491),24020491
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Sea Breeze Primary School Olodi Apapa (24020494),24020494
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, St John Anglican Primary School Araromi Apapa (24020510),24020510
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, St Mary Rcm Primary School Ajegunle (24020512),24020512
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Suru Primary School Ajegunle (24020525),24020525
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Tolu Primary School Olodi Apapa (24020541),24020541
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Unity Primary School Owodi Ora (24020558),24020558
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Wowo Primary School Olodi Apapa (24020571),24020571
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Zumratul Islamiyyah Primary School Ajegunle (24020585),24020585
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Zumratul Islamiyyah Primary School Araromi Ii (24020586),24020586
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Zumratul Islamiyyah Primary School I Alaba (24020583),24020583
 Ajeromi/Ifelodun Local Government Area,Unknown Ward, Zumratul Islamiyyah Primary School Ii Alaba (24020584),24020584
 Alimosho Local Government Area,Unknown Ward, Aboru Nursery &Amp Primary School Aboru (24030011),24030011
 Alimosho Local Government Area,Unknown Ward, African Church Nursery/ Primary School Ii Meiran (24030013),24030013
 Alimosho Local Government Area,Unknown Ward, African Church Primary Schoo I Alagbado (24030014),24030014
 Alimosho Local Government Area,Unknown Ward, African Church Primary School Akowonjo (24030015),24030015
 Alimosho Local Government Area,Unknown Ward, African Church Primary School Meiran Ajasa (24030017),24030017
 Alimosho Local Government Area,la Ipaja Ward, African Church Primary School Mosan Ipaja (24030029),24030029
 Alimosho Local Government Area,la Egbeda Ward, Egbeda Nursery And Primary School (24030042),24030042
 Alimosho Local Government Area,Unknown Ward, Akowonjo Nursery/Primary Schoolakowonjo Alimosho (24030057),24030057
 Alimosho Local Government Area,la Egbeda Ward, Alimosho Computer Centre (24030060),24030060
 Alimosho Local Government Area,Unknown Ward, Alaguntan Nursery/Primary School Alimosho (24030061),24030061
 Alimosho Local Government Area,la Egbeda Ward, Alimosho Teachers Resource Centre (24030062),24030062
 Alimosho Local Government Area,Unknown Ward, Alimosho Nursery/Primary School Alimosho (24030091),24030091
 Alimosho Local Government Area,Unknown Ward, Anglican Nursery &Amp Primary School Ayobo (24030092),24030092
 Alimosho Local Government Area,la Akesan-Obadore Ward, Anglican Nursery/Primary School Akesan (24030099),24030099
 Alimosho Local Government Area,Unknown Ward, Army Children Nursery/Primary School Abule Egba (24030104),24030104
 Alimosho Local Government Area,Unknown Ward, Ategbo Nursery And Primary School Ikotun (24030116),24030116
 Alimosho Local Government Area,la Egan Ward, Community Nursery &Amp Primary School Ii Egan (24030342),24030342
 Alimosho Local Government Area,Unknown Ward, Community Nursery And Primary School Ii Ikotun 2 (24030343),24030343
 Alimosho Local Government Area,Unknown Ward, Community Nursery And Primary School Ilapo (24030344),24030344
 Alimosho Local Government Area,Unknown Ward, Community Nursery And Primary School Ipaja (24030345),24030345
 Alimosho Local Government Area,la Unity Estate Ward, Community Nursery And Primary School Ishefun1-3 (24030347),24030347
 Alimosho Local Government Area,Unknown Ward, Community Nursery And Primary School Meiran (24030350),24030350
 Alimosho Local Government Area,Unknown Ward, Community Nursery And Primary School Surulere Alagbado (24030351),24030351
 Alimosho Local Government Area,la Egan Ward, Community Nursery&Ampprimary School I Egan (24030352),24030352
 Alimosho Local Government Area,la Alagbado Ward, Community Nursery/Primary School Amikanle 2 (24030353),24030353
 Alimosho Local Government Area,Unknown Ward, Community Nursery/Primary School Oke Oko Ipaja (24030354),24030354
 Alimosho Local Government Area,la Isheri Oshun Ward, Community Primary School I Ijegun (24030355),24030355
 Alimosho Local Government Area,la Isheri Oshun Ward, Community Primary School Ii Ijegun (24030356),24030356
 Alimosho Local Government Area,la Unity Estate Ward, Community Primary School Isheri Olofin (24030358),24030358
 Alimosho Local Government Area,la Okeodo Ward, Community Primary School Oke-Odo Alimosho (24030359),24030359
 Alimosho Local Government Area,Unknown Ward, Community Primary School Abule Egba (24030360),24030360
 Alimosho Local Government Area,Unknown Ward, Community Primary School Sasa (24030362),24030362
 Alimosho Local Government Area,Unknown Ward, Computer Center (24030364),24030364
 Alimosho Local Government Area,Unknown Ward, Ebenezer African Church Nursery And Primary School Okunola Egbeda (24030602),24030602
 Alimosho Local Government Area,Unknown Ward, Abesan Nursary And Primary School Abesan Ipaja (24030664),24030664
 Alimosho Local Government Area,la Okeodo Ward, Home Economic Center Oke Odo (24031040),24031040
 Alimosho Local Government Area,la Oki Ward, Home Economics Centre (24031041),24031041
 Alimosho Local Government Area,Unknown Ward, Housing Estate Nursery And Primary School Ipaja (24031056),24031056
 Alimosho Local Government Area,Unknown Ward, Ifesowapo Nursery &Amp Primary School Aboru (24031063),24031063
 Alimosho Local Government Area,Unknown Ward, Ijegun Junior High Schoolool Ii Ijegun (24031069),24031069
 Alimosho Local Government Area,Unknown Ward, Local Government Nursery &Amp Primary School Isheri Osun (24031281),24031281
 Alimosho Local Government Area,Unknown Ward, Local Government Nursery And Primary School I Alagbado (24031282),24031282
 Alimosho Local Government Area,Unknown Ward, Local Government Nursery And Primary School Ii Agbado (24031284),24031284
 Alimosho Local Government Area,la Egan Ward, Local Government Nursery And Primary School Ii Egan (24031285),24031285
 Alimosho Local Government Area,la Igando Ward, Local Government Nursery And Primary School Ii Igando (24031286),24031286
 Alimosho Local Government Area,la Unity Estate Ward, Local Government Nursery And Primary School Egbe (24031287),24031287
 Alimosho Local Government Area,la Egan Ward, Local Government Primary School I Egan (24031289),24031289
 Alimosho Local Government Area,la Isheri Oshun Ward, Local Government Primary School I Ijegun (24031290),24031290
 Alimosho Local Government Area,la Isheri Oshun Ward, Local Government Primary School Ii Ijegun (24031291),24031291
 Alimosho Local Government Area,Unknown Ward, Local Government Primary School Oke Ishagun/Ikola (24031292),24031292
 Alimosho Local Government Area,la Igando Ward, Local Gvernment Primary School I Igando (24031293),24031293
 Alimosho Local Government Area,Unknown Ward, Nurudeen Adewale Nursery &Amp Primary School Surulere Alagbado (24031484),24031484
 Alimosho Local Government Area,la Abaranje Okerube Ward, Okerube Nursery And Primary School Ii Abaranje (24031496),24031496
 Alimosho Local Government Area,la Oki Ward, Oki Nursery/Primary School And Inclusive Units Alimosho (24031497),24031497
 Alimosho Local Government Area,la Akesan-Obadore Ward, Olofin Nursery/Primary School Akesan (24031506),24031506
 Alimosho Local Government Area,Unknown Ward, Olukotun Nursery And Primary School Ikotun (24031514),24031514
 Alimosho Local Government Area,la Egbe-Agodo Ward, Oore-Ofe Nursery And Primary School Egbe (24031528),24031528
 Alimosho Local Government Area,Unknown Ward, Rauf Aregbesola Primary School Abati (24031661),24031661
 Alimosho Local Government Area,la Oki Ward, Salvation-Army Nursery And Primary School I Ayobo-Iyaba (24031769),24031769
 Alimosho Local Government Area,la Ayobo Ward, Salvation-Army Nursery And Primary School Ii Ayobo Ipaja (24031770),24031770
 Alimosho Local Government Area,Unknown Ward, Sasa Nursery &Amp Primary School Alimosho (24031789),24031789
 Alimosho Local Government Area,Unknown Ward, St Georges Una Primary School Ipaja (24031871),24031871
 Alimosho Local Government Area,Unknown Ward, St Andrews Anglican Nursery &Amp Primary School Ipaja (24031882),24031882
 Alimosho Local Government Area,la Okeodo Ward, Temidire Nursery And Primary School Oke-Odo (24031969),24031969
 Alimosho Local Government Area,Unknown Ward, Computer Centre Egbeda (24032179),24032179
 Alimosho Local Government Area,la Akowonjo Ward, Abati Primary School Abati (24032190),24032190
 Alimosho Local Government Area,la Bada Ward, Iroro Primary Shcool (24038217),24038217
 Alimosho Local Government Area,la Egbe-Agodo Ward, Unity Nursery And Primary School Egbe (24038220),24038220
 Alimosho Local Government Area,la Egbe-Agodo Ward, Community Nursery And Primary School Egbe (24038222),24038222
 Alimosho Local Government Area,la Ayobo Ward, Community Primary Schoolishefun (24038223),24038223
 Alimosho Local Government Area,Unknown Ward, Vocational Centre Abule Egba (24038235),24038235
 Alimosho Local Government Area,Unknown Ward, Estate Nursery And Primary School (24038238),24038238
 Alimosho Local Government Area,Unknown Ward, African Church Model Nursery /Primary School Ii Alagbado (24038241),24038241
 Alimosho Local Government Area,la Okeodo Ward, Aanuolwapo (24038254),24038254
 Alimosho Local Government Area,la Oki Ward, Alimosho Primary School Iyana-Ipaja (24038258),24038258
 Alimosho Local Government Area,la Ikotun Ward, Local Government Primary School Ii Ikotun (24038294),24038294
 Alimosho Local Government Area,Unknown Ward, Vocational Center Ikotun (24038406),24038406
 Alimosho Local Government Area,Unknown Ward, Community Nursery And Primary School (24038422),24038422
 Alimosho Local Government Area,la Ajasa Amikanle Ward, African Church Nursery And Primary School (24038429),24038429
 Alimosho Local Government Area,la Akesan-Obadore Ward, Community Primary School (24038521),24038521
 Alimosho Local Government Area,Unknown Ward, Methodist Primary School Igbogila Ipaja (24038676),24038676
 Amuwo Odofin Local Government Area,Unknown Ward, 2Nd Avenue Primary School Festac (24040001),24040001
 Amuwo Odofin Local Government Area,Unknown Ward, 3Rd Avenue Nursery And Primary School Fectac (24040002),24040002
 Amuwo Odofin Local Government Area,Unknown Ward, 4Th Avenue Primary School Festac (24040003),24040003
 Amuwo Odofin Local Government Area,Unknown Ward, 512 Rd Primary School Fectac (24040004),24040004
 Amuwo Odofin Local Government Area,Unknown Ward, 5Th Avenue Primary School Fectac (24040006),24040006
 Amuwo Odofin Local Government Area,Unknown Ward, 7Th Avenue Primary School Festa (24040007),24040007
 Amuwo Odofin Local Government Area,Unknown Ward, Amuwo Odofin Primary School Amuwo Adofin (24040028),24040028
 Amuwo Odofin Local Government Area,Unknown Ward, Ansar Ud Deen Primary School Abule Ado (24040035),24040035
 Amuwo Odofin Local Government Area,Unknown Ward, Art And Craft Centre Festac (24040039),24040039
 Amuwo Odofin Local Government Area,Unknown Ward, Bishopkoji Community Nursery And Primary School (24040057),24040057
 Amuwo Odofin Local Government Area,Unknown Ward, Central Nursery And Primary School Kirikiri (24040074),24040074
 Amuwo Odofin Local Government Area,Unknown Ward, Central Primary School Festac (24040075),24040075
 Amuwo Odofin Local Government Area,Unknown Ward, Cherubim &Amp Seraphim Nursery And Primary School (24040082),24040082
 Amuwo Odofin Local Government Area,Unknown Ward, Community Primary School Festac Extention (24040099),24040099
 Amuwo Odofin Local Government Area,Unknown Ward, Community Vocational Centre Festac (24040100),24040100
 Amuwo Odofin Local Government Area,Unknown Ward, Computer Centre Festac (24040101),24040101
 Amuwo Odofin Local Government Area,Unknown Ward, Festac Primary School Amuwo Festac (24040156),24040156
 Amuwo Odofin Local Government Area,Unknown Ward, Home Economics Centre (24040223),24040223
 Amuwo Odofin Local Government Area,Unknown Ward, Home Economics Centre Navy Town (24040512),24040512
 Amuwo Odofin Local Government Area,Unknown Ward, Ideal Primary School Festac 3 (24040227),24040227
 Amuwo Odofin Local Government Area,Unknown Ward, Ijegun Egba Nursery And Primary School I Ijegun Agba (24040230),24040230
 Amuwo Odofin Local Government Area,Unknown Ward, Ijegun Egba Nursery And Primary School Ii Ijekun Egba Satelite (24040231),24040231
 Amuwo Odofin Local Government Area,Unknown Ward, Itun Agan Community Primary School Itun Agan Island (24040238),24040238
 Amuwo Odofin Local Government Area,Unknown Ward, Kuje Nursery And Primary School Amuwo Odfin (24040274),24040274
 Amuwo Odofin Local Government Area,Unknown Ward, Lasa United Primary School Iibeshe Town Riverine (24040278),24040278
 Amuwo Odofin Local Government Area,Unknown Ward, Local Authority Nur &Amp Primary School I Amowu (24040289),24040289
 Amuwo Odofin Local Government Area,Unknown Ward, Local Authority Nursery And Primary School Ibeshe Sea Beach (24040290),24040290
 Amuwo Odofin Local Government Area,Unknown Ward, Local Authority Nursery And Primary School Ilashe Imoore (24040291),24040291
 Amuwo Odofin Local Government Area,Unknown Ward, Local Authority Nursery And Primary School Sagbokoji (24040292),24040292
 Amuwo Odofin Local Government Area,Unknown Ward, Local Authority Primary School I Ibasa Revirine (24040293),24040293
 Amuwo Odofin Local Government Area,Unknown Ward, Local Authority Primary School Igbologun Village (24040294),24040294
 Amuwo Odofin Local Government Area,Unknown Ward, Local Authority Primary School Ii Kirikiri Town (24040297),24040297
 Amuwo Odofin Local Government Area,Unknown Ward, Local Authority Primary School Iyagbe Odan (Riverine) (24040296),24040296
 Amuwo Odofin Local Government Area,Unknown Ward, Local Authority Primary School Tomaro Ilado Riverine (24040298),24040298
 Amuwo Odofin Local Government Area,Unknown Ward, Mini Resource Centre Navy Town (24040513),24040513
 Amuwo Odofin Local Government Area,Unknown Ward, Navy Town Nursery &Amp Primary School Ii Amuwo (24040321),24040321
 Amuwo Odofin Local Government Area,Unknown Ward, Navy Town Primary School 1 Amuwo Odofin (24040322),24040322
 Amuwo Odofin Local Government Area,Unknown Ward, New Town Primary School Festac (24040329),24040329
 Amuwo Odofin Local Government Area,Unknown Ward, Olumole Primary School Oluti Agboju (24040339),24040339
 Amuwo Odofin Local Government Area,Unknown Ward, Oyewole Nursery &Amp Primary School I Kuje Mazamaza (24040342),24040342
 Amuwo Odofin Local Government Area,Unknown Ward, Oyewole Primary School Ii Amuwo Kuje/Maza Maza (24040343),24040343
 Amuwo Odofin Local Government Area,Unknown Ward, Progress Nursery And Primary (24040361),24040361
 Amuwo Odofin Local Government Area,Unknown Ward, Salvation Army Nursery And Primary School (24040391),24040391
 Amuwo Odofin Local Government Area,Unknown Ward, Satellite Town Nur &Amp  School 1 (24040397),24040397
 Amuwo Odofin Local Government Area,Unknown Ward, Satellite Town Nur&Amp  School 2 (24040398),24040398
 Amuwo Odofin Local Government Area,Unknown Ward, Teachers Resourse Centre (24040431),24040431
 Amuwo Odofin Local Government Area,Unknown Ward, Unity Nursery And Primary School Mile 2 (24040462),24040462
 Amuwo Odofin Local Government Area,Unknown Ward, Universal Nursery/Primary Education Festac Town (24040463),24040463
 Amuwo Odofin Local Government Area,Unknown Ward, Zumuratul Islamiya (24040477),24040477
 Apapa Local Government Area,Unknown Ward, Apapa Primary School Apapa (24050026),24050026
 Apapa Local Government Area,Unknown Ward, Arts &Amp Craft Marine Beach (24050382),24050382
 Apapa Local Government Area,Unknown Ward, Badia Nursery And Primary School (24050366),24050366
 Apapa Local Government Area,Unknown Ward, Home Economics Centre Marine Bridge (24050390),24050390
 Apapa Local Government Area,Unknown Ward, Ire Akari Primary School Sari Iganmu (24050117),24050117
 Apapa Local Government Area,Unknown Ward, Nanti Communityunity Primary School Nanti Village Apapa (24050146),24050146
 Apapa Local Government Area,Unknown Ward, St Theresas Catholic Nursery And Primary School Apapa (24050188),24050188
 Apapa Local Government Area,la Alafia (Apapa) Ward, David Savage Memorial Primary School Sari-Iganmu Apapa (24050061),24050061
 Apapa Local Government Area,la Alafia (Apapa) Ward, Early Child Care Centre (24050072),24050072
 Apapa Local Government Area,la Alafia (Apapa) Ward, Home Economics Center Sari (24050377),24050377
 Apapa Local Government Area,la Alafia (Apapa) Ward, Ire-Akari Primary School Ii Sari-Iganmu Apapa (24050116),24050116
 Apapa Local Government Area,la Alafia (Apapa) Ward, Irepodun Primary School I Sari Iganmu (24050118),24050118
 Apapa Local Government Area,la Alafia (Apapa) Ward, Irepodun Primary School Ii Sari-Iganmu Apapa (24050119),24050119
 Apapa Local Government Area,la Alafia (Apapa) Ward, Metropolitan Primary School Lapapa (24050140),24050140
 Apapa Local Government Area,la Alafia (Apapa) Ward, Orile Primary School Apapa (24050152),24050152
